15,3,ecA
0,12,τ
6,10,lcB
3,3,τ
12,12,τ
2,10,lcB
17,5,lcA
0,10,τ
17,1,lcA
8,4,τ
8,7,ecB
4,4,τ
6,13,lcB
6,1,lcB
11,0,lcA
14,14,τ
5,8,τ
17,4,lcA
1,1,τ
7,4,lcB
16,7,ecB
5,7,ecB
0,6,ecB
12,10,τ
17,17,τ
2,2,τ
4,11,ecA
17,13,lcA
5,4,τ
4,1,τ
8,17,ecA
8,11,ecA
11,10,lcA
11,16,lcA
2,7,τ
0,0,τ
0,7,ecB
5,16,τ
5,10,τ
11,12,lcA
15,15,τ
14,10,τ
17,16,lcA
2,1,lcB
5,6,ecB
5,14,τ
10,7,ecB
15,9,ecB
6,7,τ
7,1,lcB
11,1,lcA
9,9,τ
2,4,lcB
6,8,lcB
17,11,τ
1,18,ecA
5,2,ecB
5,18,ecA
13,18,ecA
17,14,lcA
10,10,τ
0,2,ecB
17,10,lcA
11,11,τ
4,18,ecA
6,5,lcB
8,18,ecA
16,10,τ
13,13,τ
6,12,lcB
14,2,ecB
8,1,τ
14,7,ecB
6,16,lcB
0,14,τ
6,14,lcB
12,6,ecB
5,13,τ
6,4,lcB
6,2,τ
5,0,τ
12,7,ecB
13,11,ecA
8,16,τ
17,12,lcA
12,14,τ
0,18,ecA
18,10,lcA
2,16,lcB
0,16,τ
2,13,lcB
5,17,ecA
16,16,τ
3,15,lcA
13,1,τ
17,8,lcA
8,13,τ
12,2,ecB
11,18,τ
5,1,τ
2,8,lcB
13,4,τ
8,10,τ
18,18,τ
17,18,τ
18,12,lcA
17,0,lcA
7,7,τ
16,1,τ
8,8,τ
5,5,τ
18,14,lcA
11,14,lcA
13,17,ecA
6,0,lcB
9,15,lcB
7,13,lcB
6,6,τ
0,1,τ
16,18,ecA
5,12,τ
5,11,ecA
5,main
15,main
